DateTime," NDWI (NIR/SWIR1) (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDWI (NIR/SWIR1) (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
4/10/1984,0.5219,0.6687
5/12/1984,0.2869,
6/6/1984,0.0285,0.001
6/13/1984,-0.0009,
6/22/1984,-0.0218,-0.035
6/29/1984,-0.0035,-0.0148
7/8/1984,0.006,0.0046
7/15/1984,0.0328,0.0124
7/24/1984,,
8/25/1984,0.0258,0.0008
11/4/1984,0.206,0.3474
11/13/1984,0.1483,0.2257
11/20/1984,0.1591,0.2094
12/22/1984,0.3687,0.4077
1/7/1985,,0.3888
1/16/1985,0.357,0.462
1/23/1985,0.333,0.5178
2/1/1985,0.6618,0.625
2/8/1985,0.4428,0.4377
2/17/1985,,
4/6/1985,0.0792,0.23
4/13/1985,-0.0161,-0.0202
5/8/1985,-0.0428,-0.075
5/24/1985,-0.0337,-0.0646
7/27/1985,-0.0027,-0.008
8/12/1985,-0.0219,-0.0287
8/28/1985,0.0141,0.0061
9/4/1985,0.2157,0.1488
9/13/1985,0.0086,0.0082
10/15/1985,0.1023,0.1998
10/22/1985,0.0522,0.0339
10/31/1985,,
11/16/1985,0.577,0.5823
11/23/1985,0.3796,0.463
12/2/1985,0.2129,0.2218
12/9/1985,,
1/3/1986,0.3873,0.4529
1/10/1986,0.5378,0.5256
1/19/1986,,
1/26/1986,0.2474,0.2845
2/4/1986,0.196,0.3833
2/27/1986,,
3/8/1986,,
3/15/1986,,0.2098
3/31/1986,,0.0159
4/9/1986,0.1019,0.2735
4/25/1986,-0.0214,-0.0294
5/2/1986,,0.0502
5/11/1986,-0.0422,-0.0568
5/18/1986,0.0142,-0.0036
6/3/1986,,0.0703
6/12/1986,-0.0292,-0.0309
6/19/1986,-0.0025,-0.0009
6/28/1986,-0.0055,-0.0053
7/5/1986,,
7/14/1986,-0.0285,-0.015
7/21/1986,,0.0378
7/30/1986,-0.0278,-0.0191
8/6/1986,-0.0136,-0.003
8/15/1986,-0.0188,-0.008
8/22/1986,,0.141
8/31/1986,0.0173,0.0151
9/7/1986,,
9/16/1986,0.0724,
9/23/1986,-0.0055,0.0287
10/2/1986,0.0323,0.0366
10/9/1986,0.085,0.101
10/18/1986,0.0628,0.0614
10/25/1986,0.1074,0.1121
11/10/1986,0.3444,0.482
11/26/1986,0.5591,0.5743
12/12/1986,0.694,0.6919
12/21/1986,0.6134,0.6735
12/28/1986,0.5561,0.6352
1/6/1987,0.5434,0.6816
1/13/1987,0.5081,0.6066
1/22/1987,0.6561,0.6532
1/29/1987,0.497,0.5571
2/7/1987,0.3964,0.5709
3/2/1987,0.7198,0.7255
4/3/1987,0.3207,0.5186
4/19/1987,-0.0172,0.0524
4/28/1987,-0.0255,-0.0402
5/5/1987,,
5/14/1987,-0.0414,-0.0228
5/30/1987,-0.0209,-0.0303
6/6/1987,-0.0168,-0.0106
6/15/1987,-0.026,-0.0228
6/22/1987,-0.0265,-0.0133
7/1/1987,-0.0045,0.0025
7/24/1987,-0.0076,0.2714
8/2/1987,-0.0088,0
8/9/1987,0.0291,0.0798
8/18/1987,0.0075,0.0087
8/25/1987,0.055,0.0515
9/3/1987,0.0098,0.0081
9/10/1987,0.0138,0.011
9/19/1987,0.0178,0.0141
9/26/1987,0.0278,0.0206
10/5/1987,0.0567,0.0542
10/12/1987,0.0473,0.0417
10/21/1987,0.0619,0.0485
11/14/1987,0.0009,0.138
3/4/1988,,
3/20/1988,,
3/29/1988,0.6883,0.6842
4/5/1988,0.1157,0.183
4/14/1988,,
4/21/1988,-0.008,-0.0202
