DateTime," NDSI (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDSI (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
4/10/1984,0.3609,0.6046
5/12/1984,-0.044,
6/6/1984,-0.3972,-0.4205
6/13/1984,-0.4335,
6/22/1984,-0.4963,-0.5057
6/29/1984,-0.4725,-0.4871
7/8/1984,-0.4332,-0.4522
7/15/1984,-0.4267,-0.439
7/24/1984,,
8/25/1984,-0.4718,-0.4853
11/4/1984,-0.2197,0.0287
11/13/1984,-0.3255,-0.1749
11/20/1984,-0.3493,-0.2344
12/22/1984,0.0121,0.0942
1/7/1985,,0.2525
1/16/1985,-0.0113,0.1782
1/23/1985,-0.0538,0.2772
2/1/1985,0.5387,0.4935
2/8/1985,0.1938,0.2086
2/17/1985,,
4/6/1985,-0.3249,-0.0716
4/13/1985,-0.4153,-0.3982
5/8/1985,-0.4807,-0.5076
5/24/1985,-0.4659,-0.492
7/27/1985,-0.4789,-0.4923
8/12/1985,-0.5028,-0.515
8/28/1985,-0.465,-0.4724
9/4/1985,0.0308,-0.1822
9/13/1985,-0.4428,-0.45
10/15/1985,-0.3758,-0.2266
10/22/1985,-0.4442,-0.4618
10/31/1985,,
11/16/1985,0.4359,0.4365
11/23/1985,0.0542,0.1885
12/2/1985,-0.0342,-0.029
12/9/1985,,
1/3/1986,0.0423,0.147
1/10/1986,0.2768,0.2519
1/19/1986,,
1/26/1986,-0.2494,-0.179
2/4/1986,-0.2827,0.025
2/27/1986,,
3/8/1986,,
3/15/1986,,-0.1153
3/31/1986,,-0.361
4/9/1986,-0.2727,-0.0217
4/25/1986,-0.4359,-0.4453
5/2/1986,,-0.2363
5/11/1986,-0.4691,-0.482
5/18/1986,-0.3822,-0.4371
6/3/1986,,-0.2957
6/12/1986,-0.472,-0.4797
6/19/1986,-0.4474,-0.4355
6/28/1986,-0.4282,-0.4658
7/5/1986,,
7/14/1986,-0.4791,-0.4912
7/21/1986,,-0.278
7/30/1986,-0.4749,-0.4909
8/6/1986,-0.4782,-0.4929
8/15/1986,-0.4778,-0.4871
8/22/1986,,-0.2415
8/31/1986,-0.4627,-0.4737
9/7/1986,,
9/16/1986,-0.2481,
9/23/1986,-0.4121,-0.4489
10/2/1986,-0.4341,-0.4416
10/9/1986,-0.3953,-0.3969
10/18/1986,-0.4128,-0.4348
10/25/1986,-0.3912,-0.4061
11/10/1986,0.0575,0.2494
11/26/1986,0.3427,0.3773
12/12/1986,0.5659,0.5706
12/21/1986,0.4133,0.5263
12/28/1986,0.3365,0.4616
1/6/1987,0.2793,0.5401
1/13/1987,0.2441,0.403
1/22/1987,0.5099,0.519
1/29/1987,0.2576,0.3767
2/7/1987,0.0878,0.3803
3/2/1987,0.6417,0.6553
4/3/1987,0.0714,0.3626
4/19/1987,-0.429,-0.3327
4/28/1987,-0.434,-0.447
5/5/1987,,
5/14/1987,-0.4581,-0.4416
5/30/1987,-0.4532,-0.4674
6/6/1987,-0.4196,-0.4001
6/15/1987,-0.4713,-0.4866
6/22/1987,-0.4857,-0.4998
7/1/1987,-0.4642,-0.4862
7/24/1987,-0.4817,-0.0307
8/2/1987,-0.491,-0.4967
8/9/1987,-0.285,-0.3375
8/18/1987,-0.4794,-0.4841
8/25/1987,-0.4176,-0.414
9/3/1987,-0.477,-0.485
9/10/1987,-0.4582,-0.4732
9/19/1987,-0.4583,-0.474
9/26/1987,-0.4329,-0.4606
10/5/1987,-0.3461,-0.335
10/12/1987,-0.4544,-0.4583
10/21/1987,-0.4305,-0.4498
